panel…

VARIANT             | era      | trades | tr/yr | mean/tr | med/tr | win% | P2x | wkC mean | worst coh | ~maxDD
ALL leaders         | disc<=22 |  2,742 |   417 |  +7.58% |  +0.07% | 50.2 |  5.4 |   +8.12% |    -37.7% |  -25.9%
ALL leaders         | conf>=23 |  1,863 |   577 | +12.15% |  +4.27% | 55.2 |  8.2 |  +12.90% |    -20.6% |  -10.3%
LEADER & cheap      | disc<=22 |    421 |   108 | +11.08% |  +1.29% | 52.0 |  6.4 |  +11.35% |    -62.3% |  -10.6%
LEADER & cheap      | conf>=23 |    723 |   224 | +20.41% |  +8.77% | 61.4 | 12.3 |  +21.80% |    -32.6% |   -7.1%
FRESH (12M<=50%)    | disc<=22 |    995 |   151 |  +5.40% |  +2.20% | 53.6 |  2.1 |   +5.68% |    -59.9% |  -22.1%
FRESH (12M<=50%)    | conf>=23 |    693 |   215 |  +9.04% |  +0.46% | 50.8 |  6.9 |  +12.51% |    -36.7% |  -15.1%
EXTENDED (12M>50%)  | disc<=22 |  1,740 |   265 |  +9.02% |  -1.27% | 48.5 |  7.2 |  +11.30% |    -38.3% |  -21.6%
EXTENDED (12M>50%)  | conf>=23 |  1,169 |   362 | +14.02% |  +6.12% | 57.8 |  8.9 |  +13.73% |    -30.7% |   -7.8%

LEADER SLEEVE SIM COMPLETE
