industry labels: 1,216 equities, 74 industries (nse)
open-offer filings 1,202 on 197 symbols · weekly rows 187,651

ARM                             | era      |     n | tr/yr | mean/tr | med/tr | win% | P2x  | P50  | medTrough | worst coh | ~maxDD | yrs+ 
A0 mean-heat top3               | disc<=22 | 2,754 |   419 |  +7.47% |  -0.11% | 49.8 |  5.4 | 19.4 |    -18.9% |    -37.7% |  -26.1% |   4/7
A0 mean-heat top3               | conf>=23 | 1,881 |   582 | +12.46% |  +4.68% | 55.7 |  8.1 | 26.2 |    -16.5% |    -20.6% |   -9.4% |   4/4
A1 PRODUCTION (A0+EXT)          | disc<=22 | 1,764 |   268 |  +8.81% |  -1.48% | 48.2 |  7.1 | 23.6 |    -20.8% |    -38.3% |  -22.4% |   4/7
A1 PRODUCTION (A0+EXT)          | conf>=23 | 1,193 |   369 | +14.03% |  +6.21% | 57.9 |  8.8 | 30.1 |    -17.2% |    -30.7% |   -8.2% |   4/4
  A1 + median heat only         | disc<=22 | 1,696 |   258 |  +6.54% |  -0.81% | 48.6 |  5.2 | 21.1 |    -20.5% |    -38.3% |  -20.8% |   4/7
  A1 + median heat only         | conf>=23 | 1,099 |   340 | +12.48% |  +4.66% | 57.0 |  7.3 | 28.0 |    -16.5% |    -30.7% |   -6.6% |   3/4
  A1 + no-takeover only         | disc<=22 | 1,762 |   268 |  +8.89% |  -1.47% | 48.2 |  7.2 | 23.6 |    -20.8% |    -38.3% |  -22.4% |   4/7
  A1 + no-takeover only         | conf>=23 | 1,184 |   366 | +13.99% |  +6.22% | 58.0 |  8.6 | 30.1 |    -17.2% |    -30.7% |   -8.5% |   4/4
B PRIMARY (median+EXT+no-TO)    | disc<=22 | 1,695 |   258 |  +6.55% |  -0.76% | 48.7 |  5.3 | 21.1 |    -20.6% |    -38.3% |  -20.7% |   4/7
B PRIMARY (median+EXT+no-TO)    | conf>=23 | 1,088 |   337 | +12.43% |  +4.51% | 56.8 |  7.2 | 28.1 |    -16.5% |    -30.7% |   -7.5% |   3/4
  B without EXT                 | disc<=22 | 2,748 |   418 |  +6.44% |  +0.72% | 51.1 |  4.1 | 17.8 |    -18.4% |    -41.6% |  -28.3% |   5/7
  B without EXT                 | conf>=23 | 1,863 |   577 | +10.67% |  +3.36% | 55.1 |  6.5 | 23.8 |    -15.3% |    -28.1% |  -10.0% |   3/4
A1 as v1 (survivorship ref)     | disc<=22 | 1,740 |   265 |  +9.02% |  -1.27% | 48.5 |  7.2 | 24.0 |    -20.8% |    -38.3% |  -21.6% |   4/7
A1 as v1 (survivorship ref)     | conf>=23 | 1,169 |   362 | +14.02% |  +6.12% | 57.8 |  8.9 | 30.3 |    -17.3% |    -30.7% |   -7.8% |   4/4
LEADER CELL V2 COMPLETE
