industry labels: 3,146 equities, 189 industries (nse4)
open-offer filings 1,202 on 197 symbols · weekly rows 321,138

ARM                             | era      |     n | tr/yr | mean/tr | med/tr | win% | P2x  | P50  | medTrough | worst coh | ~maxDD | yrs+ 
A0 mean-heat top3               | disc<=22 | 3,138 |   478 |  +7.91% |  +2.27% | 53.0 |  5.1 | 22.8 |    -17.8% |    -48.2% |  -13.3% |   4/7
A0 mean-heat top3               | conf>=23 | 3,165 |   980 | +10.77% |  +2.01% | 52.7 |  6.7 | 25.5 |    -17.2% |    -28.4% |  -15.5% |   3/4
A1 PRODUCTION (A0+EXT)          | disc<=22 | 2,025 |   308 |  +7.61% |  +1.18% | 51.2 |  5.4 | 24.8 |    -18.8% |    -46.4% |  -12.2% |   4/7
A1 PRODUCTION (A0+EXT)          | conf>=23 | 1,978 |   612 | +12.91% |  +3.48% | 54.6 |  7.5 | 29.6 |    -18.0% |    -38.9% |  -14.3% |   3/4
  A1 + median heat only         | disc<=22 | 1,961 |   298 |  +9.49% |  +2.54% | 53.3 |  5.6 | 24.2 |    -18.8% |    -55.7% |  -11.0% |   4/7
  A1 + median heat only         | conf>=23 | 1,785 |   553 | +12.46% |  +2.60% | 53.8 |  7.4 | 27.3 |    -17.6% |    -32.1% |  -17.5% |   3/4
  A1 + no-takeover only         | disc<=22 | 2,024 |   308 |  +7.62% |  +1.19% | 51.2 |  5.4 | 24.8 |    -18.7% |    -46.4% |  -12.2% |   4/7
  A1 + no-takeover only         | conf>=23 | 1,944 |   602 | +12.92% |  +3.64% | 54.6 |  7.4 | 29.5 |    -18.1% |    -38.9% |  -15.0% |   3/4
B PRIMARY (median+EXT+no-TO)    | disc<=22 | 1,959 |   298 |  +9.51% |  +2.54% | 53.3 |  5.6 | 24.2 |    -18.8% |    -55.7% |  -11.0% |   4/7
B PRIMARY (median+EXT+no-TO)    | conf>=23 | 1,753 |   543 | +12.59% |  +2.73% | 53.9 |  7.4 | 27.6 |    -17.6% |    -32.1% |  -17.0% |   3/4
  B without EXT                 | disc<=22 | 3,134 |   477 |  +9.24% |  +3.00% | 54.4 |  5.0 | 22.1 |    -17.6% |    -46.2% |  -12.6% |   5/7
  B without EXT                 | conf>=23 | 3,119 |   965 | +10.10% |  +2.03% | 52.9 |  6.2 | 23.1 |    -16.6% |    -29.3% |  -12.6% |   2/4
A1 as v1 (survivorship ref)     | disc<=22 | 2,023 |   308 |  +8.01% |  +0.66% | 50.8 |  5.9 | 25.1 |    -18.8% |    -46.4% |  -12.0% |   4/7
A1 as v1 (survivorship ref)     | conf>=23 | 1,938 |   600 | +12.21% |  +2.97% | 54.0 |  7.3 | 29.2 |    -18.2% |    -38.9% |  -15.4% |   3/4
LEADER CELL V2 COMPLETE
