analyst analog labels: +38 (of 38)
industry labels: 3,184 equities, 189 industries (nse4_full)
open-offer filings 1,202 on 197 symbols · weekly rows 323,435

ARM                             | era      |     n | tr/yr | mean/tr | med/tr | win% | P2x  | P50  | medTrough | worst coh | ~maxDD | yrs+ 
A0 mean-heat top3               | disc<=22 | 3,156 |   480 |  +8.09% |  +2.45% | 53.2 |  4.9 | 22.8 |    -17.6% |    -48.2% |  -12.3% |   4/7
A0 mean-heat top3               | conf>=23 | 3,165 |   980 | +10.68% |  +1.86% | 52.5 |  6.7 | 25.4 |    -17.2% |    -28.4% |  -15.7% |   3/4
A1 PRODUCTION (A0+EXT)          | disc<=22 | 2,037 |   310 |  +7.78% |  +1.53% | 51.7 |  5.3 | 24.6 |    -18.5% |    -46.4% |  -11.3% |   5/7
A1 PRODUCTION (A0+EXT)          | conf>=23 | 1,981 |   613 | +12.82% |  +3.19% | 54.3 |  7.5 | 29.5 |    -18.0% |    -38.9% |  -14.3% |   3/4
  A1 + median heat only         | disc<=22 | 1,986 |   302 |  +9.67% |  +2.76% | 53.7 |  5.5 | 24.1 |    -18.6% |    -55.7% |  -11.0% |   4/7
  A1 + median heat only         | conf>=23 | 1,790 |   554 | +12.31% |  +2.44% | 53.8 |  7.4 | 27.1 |    -17.6% |    -32.1% |  -17.2% |   3/4
  A1 + no-takeover only         | disc<=22 | 2,036 |   310 |  +7.80% |  +1.53% | 51.7 |  5.3 | 24.6 |    -18.5% |    -46.4% |  -11.3% |   5/7
  A1 + no-takeover only         | conf>=23 | 1,947 |   603 | +12.83% |  +3.37% | 54.4 |  7.4 | 29.4 |    -18.0% |    -38.9% |  -15.0% |   3/4
B PRIMARY (median+EXT+no-TO)    | disc<=22 | 1,984 |   302 |  +9.69% |  +2.76% | 53.7 |  5.5 | 24.1 |    -18.6% |    -55.7% |  -11.0% |   4/7
B PRIMARY (median+EXT+no-TO)    | conf>=23 | 1,758 |   544 | +12.44% |  +2.67% | 53.9 |  7.3 | 27.4 |    -17.6% |    -32.1% |  -16.8% |   3/4
  B without EXT                 | disc<=22 | 3,152 |   480 |  +9.51% |  +3.17% | 54.6 |  5.0 | 22.2 |    -17.5% |    -46.2% |  -12.0% |   5/7
  B without EXT                 | conf>=23 | 3,119 |   965 | +10.05% |  +2.01% | 52.9 |  6.2 | 23.1 |    -16.6% |    -29.3% |  -12.4% |   2/4
A1 as v1 (survivorship ref)     | disc<=22 | 2,029 |   309 |  +8.37% |  +1.20% | 51.4 |  5.9 | 25.2 |    -18.6% |    -46.4% |  -11.2% |   4/7
A1 as v1 (survivorship ref)     | conf>=23 | 1,942 |   601 | +12.15% |  +2.71% | 53.8 |  7.3 | 29.0 |    -18.1% |    -38.9% |  -15.2% |   3/4
LEADER CELL V2 COMPLETE
