industry labels: 3,146 equities, 189 industries (nse4)
open-offer filings 1,202 on 197 symbols · weekly rows 751,671

ARM                             | era      |     n | tr/yr | mean/tr | med/tr | win% | P2x  | P50  | medTrough | worst coh | ~maxDD | yrs+ 
A0 mean-heat top3               | disc<=22 | 7,998 |  1217 | +19.06% |  +1.59% | 52.2 | 12.9 | 31.1 |    -19.9% |    -28.9% |  -22.1% |   5/7
A0 mean-heat top3               | conf>=23 | 5,113 |  1528 | +18.48% |  +2.99% | 53.3 | 10.9 | 29.3 |    -17.4% |    -28.0% |  -11.1% |   3/4
A1 PRODUCTION (A0+EXT)          | disc<=22 | 4,069 |   619 | +22.60% |  +4.05% | 54.6 | 15.2 | 36.0 |    -19.9% |    -66.8% |  -34.0% |   5/7
A1 PRODUCTION (A0+EXT)          | conf>=23 | 2,904 |   868 | +19.56% |  +3.00% | 53.4 | 13.2 | 33.2 |    -18.9% |    -36.4% |  -19.0% |   3/4
  A1 + median heat only         | disc<=22 | 3,909 |   595 | +18.68% |  +5.40% | 56.6 | 12.9 | 33.9 |    -19.0% |    -67.9% |  -26.5% |   5/7
  A1 + median heat only         | conf>=23 | 2,539 |   786 | +18.28% |  +3.57% | 54.4 | 12.1 | 29.9 |    -17.5% |    -31.4% |  -18.3% |   3/4
  A1 + no-takeover only         | disc<=22 | 4,049 |   616 | +22.85% |  +4.21% | 54.7 | 15.3 | 36.1 |    -19.9% |    -66.8% |  -32.8% |   5/7
  A1 + no-takeover only         | conf>=23 | 2,850 |   852 | +20.02% |  +3.18% | 53.8 | 13.3 | 33.1 |    -18.8% |    -36.4% |  -19.4% |   3/4
B PRIMARY (median+EXT+no-TO)    | disc<=22 | 3,890 |   592 | +18.92% |  +5.49% | 56.7 | 13.0 | 34.0 |    -19.0% |    -67.9% |  -24.8% |   5/7
B PRIMARY (median+EXT+no-TO)    | conf>=23 | 2,511 |   777 | +18.70% |  +3.85% | 54.7 | 12.2 | 30.0 |    -17.5% |    -31.4% |  -17.5% |   3/4
  B without EXT                 | disc<=22 | 7,938 |  1208 | +16.79% |  +3.25% | 54.6 | 11.1 | 29.4 |    -18.3% |    -39.3% |  -28.7% |   5/7
  B without EXT                 | conf>=23 | 5,073 |  1570 | +16.80% |  +3.99% | 55.1 |  9.4 | 26.2 |    -15.9% |    -23.2% |   -9.0% |   3/4
  A1 & ADV<1cr                  | disc<=22 |   843 |   128 | +40.82% | +10.61% | 58.4 | 26.1 | 51.1 |    -22.4% |    -80.1% |  -31.2% |   5/7
  A1 & ADV<1cr                  | conf>=23 |   280 |    88 | +21.63% |  +1.13% | 50.7 | 15.7 | 38.6 |    -22.7% |    -58.0% |   -6.0% |   2/4
  A1 & ADV 1-5cr                | disc<=22 | 1,039 |   158 | +22.55% |  +6.99% | 56.4 | 17.8 | 42.3 |    -21.4% |    -50.1% |  -23.6% |   5/7
  A1 & ADV 1-5cr                | conf>=23 |   490 |   152 | +32.67% |  +6.66% | 55.7 | 21.6 | 41.6 |    -19.9% |    -53.4% |  -23.1% |   2/4
  A1 & ADV>=5cr                 | disc<=22 | 2,187 |   333 | +15.60% |  +1.59% | 52.2 |  9.8 | 27.1 |    -18.9% |    -75.6% |  -27.5% |   4/7
  A1 & ADV>=5cr                 | conf>=23 | 2,134 |   638 | +16.28% |  +2.62% | 53.3 | 10.9 | 30.6 |    -18.4% |    -36.6% |  -17.4% |   3/4
A1 as v1 (survivorship ref)     | disc<=22 | 4,081 |   621 | +23.51% |  +4.34% | 54.9 | 15.5 | 36.5 |    -19.8% |    -57.0% |  -31.8% |   5/7
A1 as v1 (survivorship ref)     | conf>=23 | 2,862 |   886 | +19.40% |  +3.12% | 53.6 | 12.9 | 33.3 |    -18.8% |    -36.4% |  -20.2% |   3/4
LEADER CELL V2 COMPLETE
