symbol,cohort,asof,days_to_2x,peak_mult,rsi,rsi_z,r20,r20_z,r5,r60,dvol,off52,vs50,vs200,dlv10,vol_asym,adv_cr,close
CUPID,DOUBLER,2026-04-07,53.0,3.44,56.18883454165519,-0.6552121443142819,-0.07011308562197083,-0.49742580384057944,0.03898916967509036,-0.016292582887091345,0.03151779106602916,-0.17755763002476666,0.041757159818144984,0.43409515555215217,1.157029239042502,0.8982194009474491,136.6633,86.34
HFCL,DOUBLER,2026-04-02,25.0,3.41,53.83932580769784,0.787266046034111,0.02340182648401834,0.16850479846951455,0.011137741435217619,0.0714072303555422,0.03105435292715831,-0.22035003804761388,0.03209391881974044,-0.011907533722857466,1.1096524572979791,0.6446846191422619,163.528445,71.72
CEMPRO,DOUBLER,2026-04-01,42.0,3.1,43.80709251245165,0.318975395990995,-0.035656108597285185,-0.24855047430643784,-0.05406125166444753,-0.29205421206484194,0.032077783339228665,-0.382404080213284,-0.09234627126035755,,1.0326927542728193,0.9846972812478789,20.568475,532.8
WELCORP,DOUBLER,2026-04-01,74.0,2.94,54.24143034296361,0.5086351922319344,0.04073422177520736,0.31903653231046014,-0.009275327628508134,0.04698665654840961,0.02854986174789534,-0.14333022870744072,0.03427811061203312,-0.024300550319005798,1.0118574183190927,0.8921714013968041,42.11468,827.8
SETL,DOUBLER,2026-04-01,64.0,2.86,52.76145443897851,,0.018969279838845,0.09378452180126497,0.04790677600345283,,0.0452277181662844,,0.0013345628687988498,,0.9824337793725716,0.5778414304807012,5.889905,121.4
CYIENTDLM,DOUBLER,2026-04-02,71.0,2.86,39.66265573103216,-0.35800538720713043,-0.065086782376502,-0.4082820874313283,-0.04921928038017653,-0.3219559428709755,0.03564654789198237,-0.43207623682076235,-0.13633616596159304,-0.3216722800444871,0.9428557732260181,0.5801731635530285,97.6149,280.1
OMNI,DOUBLER,2026-04-01,46.0,2.8,49.36520558804404,,,,0.1677297829530373,,,,,,,,32.46177,272.77
DIACABS,DOUBLER,2026-04-01,71.0,2.73,47.185707892930154,-0.24806812909693754,-0.05703965685905621,-0.346514672152232,-0.021321462043111472,-0.13136004436434212,0.0368078353963836,-0.29636700544668426,-0.03559917374453181,-0.12226478240663075,1.0695175605156904,1.3054193059137702,19.430945,125.31
KERNEX,DOUBLER,2026-04-01,44.0,2.7,46.22501721620951,-0.23498395256034532,-0.0647260273972603,-0.3749046993173975,0.018812619910466788,-0.263597842835131,0.03860495678963379,-0.2920154062662025,-0.11030504757729498,-0.12328875177679977,1.0074321937580037,0.8287224476735545,15.518,955.85
INDSWFTLAB,DOUBLER,2026-05-22,57.0,2.7,41.879625013050166,-1.1010130898454336,-0.040829694323144206,-0.4305020578076419,-0.01568451714093655,-0.0931672744787726,0.021207325342886447,-0.12303699760447173,-0.0493001943383623,0.15435552643657213,0.9807146889519902,1.1177405012013553,7.207124999999999,131.79
SUVEN,DOUBLER,2026-04-01,39.0,2.67,59.84328207626969,1.61424769185729,0.10203318881746148,0.6060253367003705,0.10129229849854338,-0.14986737400530492,0.037647459988907714,-0.4342019418966112,0.03466474279706877,-0.1375364125130052,0.8957498092537819,1.1310292953931638,8.18627,147.43
