symbol,thrust_date,entry_date,entry,adv,band,p
SUDEEPPHRM,2026-05-29,2026-06-05,754.5,11.365865,0.0,1.0
KDDL,2026-05-20,2026-05-27,2705.9,8.443025,0.0,1.0
KPL,2026-05-19,2026-05-26,2164.0,6.841065,0.0,1.0
COCKERILL,2026-05-22,2026-05-29,7076.5,4.894735,1.0,1.0
TIMEX,2026-05-27,2026-06-03,433.2,24.22268,0.0,1.0
GENESYS,2026-05-21,2026-05-28,247.15,15.828005,0.0,1.0
JAYBARMARU,2026-05-20,2026-05-27,113.68,2.444744999999999,1.0,1.0
TBZ,2026-05-29,2026-06-05,167.16,8.73454,0.0,1.0
INDSWFTLAB,2026-05-29,2026-06-05,158.0,13.14458,0.0,1.0
BLUSPRING,2026-05-29,2026-06-05,93.35,2.52441,1.0,0.0
NPST,2026-05-29,2026-06-05,1442.4,4.103295,1.0,0.0
VADILALIND,2026-05-29,2026-06-05,5780.7,10.512565,0.0,0.0
MANCREDIT,2026-05-27,2026-06-03,201.36,2.28621,1.0,0.0
MODISONLTD,2026-05-26,2026-06-02,313.7,3.61459,1.0,0.0
TEGA,2026-05-29,2026-06-05,1847.7,26.311905,0.0,0.0
COFFEEDAY,2026-05-27,2026-06-03,39.61,8.62083,1.0,0.0
ZEEL,2026-05-27,2026-06-03,94.5,170.85924,0.0,0.0
MAITHANALL,2026-05-27,2026-06-03,1070.8,4.182595,1.0,0.0
ATGL,2026-05-26,2026-06-02,738.15,303.714505,0.0,0.0
VINDHYATEL,2026-05-26,2026-06-02,2117.9,23.40353,0.0,0.0
GOCLCORP,2026-05-26,2026-06-02,400.8,3.988555,1.0,0.0
KERNEX,2026-05-29,2026-06-05,1836.1,63.896315,0.0,0.0
BLISSGVS,2026-05-26,2026-06-02,434.45,95.035915,0.0,0.0
DREDGECORP,2026-05-19,2026-05-26,1115.35,22.66529,0.0,0.0
IFBIND,2026-05-26,2026-06-02,1317.8,26.445625,0.0,0.0
GUFICBIO,2026-05-25,2026-06-01,346.7,2.83257,1.0,0.0
SPARC,2026-05-19,2026-05-26,235.57,102.892135,0.0,0.0
APOLLO,2026-05-19,2026-05-26,412.1,501.466185,0.0,0.0
DECNGOLD,2026-05-19,2026-05-26,176.86,10.75427,0.0,0.0
BOROSCI,2026-05-20,2026-05-27,148.53,1.9134,1.0,0.0
IOLCP,2026-05-20,2026-05-27,131.4,46.35529,0.0,0.0
CARYSIL,2026-05-20,2026-05-27,1095.55,13.003665,0.0,0.0
ENRIN,2026-05-20,2026-05-27,3766.1,196.79058,0.0,0.0
20MICRONS,2026-05-20,2026-05-27,188.03,2.32149,1.0,0.0
SANDHAR,2026-05-21,2026-05-28,710.3,24.5705,0.0,0.0
GOCOLORS,2026-05-21,2026-05-28,340.55,19.678415,0.0,0.0
NIBE,2026-05-21,2026-05-28,1426.0,21.29541,0.0,0.0
EXICOM,2026-05-21,2026-05-28,147.21,13.19688,0.0,0.0
WEWORK,2026-05-21,2026-05-28,590.95,19.11622,0.0,0.0
NGLFINE,2026-05-22,2026-05-29,2785.1,4.403265,1.0,0.0
VIKRAN,2026-05-25,2026-06-01,70.87,22.95644,0.0,0.0
SIMPLEXINF,2026-05-25,2026-06-01,238.25,2.49102,1.0,0.0
